Precinct,DEMOCRATIC,REPUBLICAN,LIBERTARIAN,OTHER,TOTAL
1,325,257,11,194,787
2,251,311,11,183,756
3,239,209,11,147,606
4,202,199,8,149,558
5,214,183,6,152,555
6,135,135,9,141,420
7,239,256,28,211,734
8,218,223,7,191,639
9,377,226,23,304,930
10,296,143,10,163,612
11,314,200,14,236,764
12,129,75,9,73,286
13,366,307,14,256,943
14,355,214,9,190,768
15,300,166,11,154,631
16,409,197,11,228,845
17,396,191,17,254,858
18,209,96,5,102,412
19,289,144,6,161,600
20,183,96,9,117,405
21,262,158,12,203,635
22,412,214,12,288,926
23,344,255,16,263,878
